Показник,region,Категорія розрізу,activity,sex,Періодичність,year,enterprises_count
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Надання інших видів послуг,Жінки,Річна,2025,1439
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Переробна промисловість,Жінки,Річна,2025,297
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Діяльність у сфері адміністративного та допоміжного обслуговування,Чоловіки,Річна,2025,742
Кількість активних підприємств,Житомирська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Чоловіки,Річна,2025,104
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Чоловіки,Річна,2025,526
Кількість активних підприємств,Житомирська,Вид економічної діяльності,"Професійна, наукова та технічна діяльність",Чоловіки,Річна,2025,214
Кількість активних підприємств,Житомирська,Вид економічної діяльності,"Постачання електроенергії, газу, пари та кондиційованого повітря",Жінки,Річна,2025,21
Кількість активних підприємств,Житомирська,Вид економічної діяльності,"Мистецтво, спорт, розваги та відпочинок",Жінки,Річна,2025,333
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Добувна промисловість і розроблення кар'єрів,Чоловіки,Річна,2025,166
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Будівництво,Чоловіки,Річна,2025,395
Кількість активних підприємств,Житомирська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Жінки,Річна,2025,260
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Освіта,Жінки,Річна,2025,1222
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Інформація та телекомунікації,Чоловіки,Річна,2025,144
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Будівництво,Жінки,Річна,2025,75
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Охорона здоров'я та надання соціальної допомоги,Жінки,Річна,2025,404
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Фінансова та страхова діяльність,Жінки,Річна,2025,2
Кількість активних підприємств,Житомирська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Жінки,Річна,2025,36
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Переробна промисловість,Чоловіки,Річна,2025,930
Кількість активних підприємств,Житомирська,Вид економічної діяльності,"Сільське господарство, лісове господарство та рибне господарство",Чоловіки,Річна,2025,1104
Кількість активних підприємств,Житомирська,Вид економічної діяльності,"Водопостачання; каналізація, поводження з відходами",Чоловіки,Річна,2025,80
Кількість активних підприємств,Житомирська,Вид економічної діяльності,Тимчасове розміщування й організація харчування,Чоловіки,Річна,2025,44
